site,date,word_count,grade_level,comment_count,likes
slowboring,2021-04-05,1442,12.6,175,135
slowboring,2021-04-02,2423,9.5,257,93
slowboring,2021-04-03,1161,11.4,139,108
slowboring,2021-04-06,2484,11.1,304,130
slowboring,2021-04-07,2622,9.7,216,98
slowboring,2021-04-08,1755,10.5,136,77
slowboring,2021-04-12,3427,10.9,303,142
slowboring,2021-04-14,2647,10.0,163,120
slowboring,2021-04-13,3273,11.4,189,80
slowboring,2021-04-15,2595,10.5,85,99
slowboring,2021-04-16,2656,9.9,161,70
slowboring,2021-04-17,1019,9.4,167,107
slowboring,2021-04-20,1604,11.5,88,121
slowboring,2021-04-19,3085,9.7,305,155
slowboring,2021-04-21,2811,10.9,137,91
slowboring,2021-04-22,3394,11.0,329,104
slowboring,2021-04-23,1976,9.1,425,231
slowboring,2021-04-24,1107,11.8,150,128
slowboring,2021-04-26,3035,11.2,267,111
slowboring,2021-04-28,1470,9.8,159,112
slowboring,2021-04-27,2718,11.9,167,126
slowboring,2021-04-29,3230,11.7,360,147
slowboring,2021-04-28,1090,11.6,43,60
slowboring,2021-05-04,3512,12.1,420,173
slowboring,2021-04-30,1719,11.0,221,84
slowboring,2021-05-03,2395,11.7,68,56
slowboring,2021-05-05,2455,10.0,228,114
slowboring,2021-05-06,2324,8.9,141,100
slowboring,2021-05-07,2110,10.1,179,144
slowboring,2021-05-08,1046,10.1,258,109
slowboring,2021-05-10,2587,12.1,380,401
slowboring,2021-05-11,2632,9.2,263,158
slowboring,2021-05-12,3542,10.6,157,94
slowboring,2021-05-13,2444,10.0,484,185
slowboring,2021-05-29,2481,10.4,110,81
slowboring,2021-05-14,2669,10.6,401,123
slowboring,2021-05-17,2850,11.8,249,139
slowboring,2021-05-18,2598,10.8,85,52
slowboring,2021-05-19,1554,9.8,479,202
slowboring,2021-05-20,3275,11.3,119,59
slowboring,2021-05-21,3202,11.5,333,239
slowboring,2021-05-24,1917,10.5,256,153
slowboring,2021-05-25,2204,10.9,392,172
slowboring,2021-05-26,4265,11.1,484,176
slowboring,2021-05-27,2130,11.2,303,164
slowboring,2021-05-28,3720,10.9,299,190
slowboring,2021-06-01,2342,11.2,318,156
slowboring,2021-05-31,819,7.6,196,137
slowboring,2021-06-02,2729,9.8,242,169
slowboring,2021-06-03,3109,11.4,186,154
slowboring,2021-06-04,2779,11.0,530,251
slowboring,2021-06-07,2664,8.7,203,111
slowboring,2021-06-05,851,9.7,107,22
slowboring,2021-06-08,2033,10.5,167,181
slowboring,2021-06-09,3497,10.5,289,135
slowboring,2021-06-12,2522,9.9,95,134
slowboring,2021-06-10,2670,10.7,331,131
slowboring,2021-06-11,2645,11.9,326,181
slowboring,2021-06-14,3550,9.0,110,143
slowboring,2021-06-30,2158,11.6,334,139
slowboring,2021-06-15,2536,11.4,188,89
slowboring,2021-06-16,4134,11.6,276,99
slowboring,2021-06-17,2795,10.3,388,145
slowboring,2021-06-21,2060,13.0,290,156
slowboring,2021-06-18,2315,11.2,192,121
slowboring,2021-06-23,1976,10.7,146,143
slowboring,2021-06-22,932,10.0,62,59
slowboring,2021-06-22,1246,14.1,158,82
slowboring,2021-06-21,258,10.1,39,66
slowboring,2021-06-24,2182,9.6,165,128
slowboring,2021-06-25,1309,10.5,147,104
slowboring,2021-06-28,2120,11.2,175,107
slowboring,2021-06-25,1011,10.5,98,65
slowboring,2021-06-29,2935,12.4,528,165
slowboring,2021-07-01,2742,12.4,226,185
slowboring,2021-07-02,3002,9.6,265,172
slowboring,2021-07-09,2633,11.3,107,83
slowboring,2021-07-06,1676,9.8,120,104
slowboring,2021-07-07,2272,10.5,231,144
slowboring,2021-07-08,2573,11.6,319,142
slowboring,2021-07-12,2991,12.3,382,251
slowboring,2021-07-13,573,9.7,24,35
slowboring,2021-07-13,2558,9.9,229,119
slowboring,2021-07-14,1538,11.9,97,98
slowboring,2021-07-15,1661,10.5,204,202
slowboring,2021-07-16,2372,11.9,134,95
slowboring,2021-07-15,2198,9.3,106,160
slowboring,2021-07-20,2680,9.8,256,143
slowboring,2021-07-19,1657,11.0,203,103
slowboring,2021-07-22,2459,10.3,208,95
slowboring,2021-07-21,1928,10.8,320,199
slowboring,2021-07-23,3053,11.4,211,99
slowboring,2021-07-29,1976,10.1,327,158
slowboring,2021-07-26,2279,12.2,230,225
slowboring,2021-07-28,3389,10.4,483,224
slowboring,2021-07-27,1506,9.6,434,128
slowboring,2021-07-30,2601,9.9,68,57
slowboring,2021-08-02,2011,10.7,81,118
slowboring,2021-08-03,2084,9.2,241,138
slowboring,2021-08-04,2346,10.4,189,119
slowboring,2021-08-05,2381,10.2,354,134
slowboring,2021-08-06,2322,11.2,398,213
slowboring,2021-08-09,2245,10.3,225,107
slowboring,2021-08-10,3019,11.1,316,134
slowboring,2021-08-11,2763,10.8,216,185
slowboring,2021-08-12,3459,11.2,431,204
slowboring,2021-08-13,1679,9.4,107,85
slowboring,2021-08-31,2320,10.8,179,148
slowboring,2021-08-16,3296,11.0,236,119
slowboring,2021-08-14,6,0.9,94,5
slowboring,2021-08-18,2166,8.3,310,153
slowboring,2021-08-17,2102,10.1,418,195
slowboring,2021-08-19,2112,9.4,273,171
slowboring,2021-08-20,2332,10.7,156,111
slowboring,2021-08-23,2482,10.9,156,152
slowboring,2021-08-25,2492,9.4,337,168
slowboring,2021-08-24,1869,8.8,191,120
slowboring,2021-08-26,2048,10.1,183,111
slowboring,2021-08-27,2583,9.8,233,154
slowboring,2021-08-28,832,13.0,129,125
slowboring,2021-08-30,2310,10.9,263,151
slowboring,2021-09-01,1910,11.2,72,52
slowboring,2021-09-02,1923,10.9,236,126
slowboring,2021-09-03,2724,10.8,168,102
slowboring,2021-09-08,1729,10.0,163,118
slowboring,2021-09-07,1696,12.7,132,69
slowboring,2021-09-09,1900,10.3,286,145
slowboring,2021-09-20,1796,11.2,211,169
slowboring,2021-09-10,2658,10.1,136,98
slowboring,2021-09-14,2573,11.0,148,54
slowboring,2021-09-13,1929,8.7,147,75
slowboring,2021-09-11,790,8.4,341,109
slowboring,2021-09-15,1470,9.6,352,165
slowboring,2021-09-16,2414,9.9,166,96
slowboring,2021-09-21,1914,9.0,71,65
slowboring,2021-09-17,1873,11.8,191,96
slowboring,2021-09-22,1963,10.2,445,181
slowboring,2021-09-23,1406,10.7,333,148
